Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.3700000000,CN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,68.9300000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.2400000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.0700000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,67.8400000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,70.0200000000,VN,AA
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.4300000000,CN,GH
NIK   ,HIGH,IEL,CY ,CY ,2014-02-12,67.2910000000,ID,YO
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.7700000000,VN,AA
NIK   ,HIGH,IEL,CY ,CY ,2014-02-12,67.3310000000,ID,YO
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,2.8690000000,CN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,68.7200000000,VN,AA
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.4300000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,2.7600000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,2.9780000000,CN,GH
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,23.5000000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,25.2800000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,25.2800000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,24.6700000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,26.4600000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,57.6900000000,CN,AA
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,24.0200000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,30.2900000000,VN,HD
NIK   ,AIR ,AIR,CFS,CY ,2014-01-26,0.2500000000,CN,EL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,27.8500000000,CN,AA
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,29.9300000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,32.2200000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,33.7800000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,34.6700000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,37.4100000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-10,18.3200000000,LK,KL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,57.3600000000,VN,HD
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,71.0000000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,33.2400000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,58.4300000000,VN,FL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,45.2500000000,VN,FL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,28.6300000000,VN,PK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.2900000000,VN,BK
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,14.1900000000,VN,NL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,20.4600000000,VN,NL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-17,60.3900000000,VN,US
NIK   ,DRY ,IEL,CFS,CY ,2014-02-17,60.5200000000,VN,US
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,70.8600000000,VN,YO
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.6100000000,VN,YO
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.5900000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.7100000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,70.6800000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.4800000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.5700000000,VN,BK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,81.4400000000,VN,BK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.0100000000,VN,BK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,69.9200000000,VN,LN
NIK   ,HIGH,IEL,CFS,CY ,2014-02-12,80.0700000000,ID,BK
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,48.3500000000,VN,WX
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,29.9300000000,VN,WX
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,28.8400000000,VN,ZO
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,54.5200000000,CN,FD
NIK   ,HIGH,IEL,CFS,CY ,2014-02-12,68.4310000000,ID,BK
NIK   ,DRY ,OCE,CFS,CFS,2014-02-13,0.0000000000,MY,PP
NIK   ,HIGH,IEL,CFS,CY ,2014-02-12,68.5050000000,ID,BK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-12,68.4100000000,ID,BK
NIK   ,DRY ,IEL,CFS,CY ,2014-02-10,17.8600000000,LK,YO
NIK   ,HIGH,IEL,CFS,CY ,2014-02-12,70.7000000000,ID,BK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-12,68.6000000000,ID,BK
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,27.8200000000,ID,WX
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,32.6400000000,ID,WX
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,27.0400000000,ID,WX
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,51.2700000000,ID,RK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-12,70.0420000000,ID,BK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.9800000000,ID,BK
NIK   ,DRY ,IEL,CFS,CY ,2014-02-18,25.5900000000,MY,PT
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,71.2100000000,VN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,70.6200000000,VN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,70.2400000000,VN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,70.8900000000,VN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,70.5600000000,VN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,71.0400000000,VN,GH
NIK   ,DRY ,IEL,CY ,CY ,2014-02-14,56.0000000000,CN,OK
NIK   ,DRY ,IEL,CY ,CY ,2014-02-14,56.0000000000,CN,OK
NIK   ,HIGH,IEL,CY ,CY ,2014-02-14,64.0000000000,CN,OK
NIK   ,AIR ,AIR,CFS,CY ,2014-02-10,0.8800000000,CN,E0
NIK   ,AIR ,AIR,CFS,CY ,2014-02-10,0.4400000000,CN,E0
NIK   ,DRY ,IEL,CY ,CY ,2014-02-17,55.9000000000,CN,EL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,53.8250000000,ID,DW
NIK   ,DRY ,IEL,CFS,CY ,2014-02-18,52.9400000000,MY,PT
NIK   ,HIGH,IEL,CFS,CY ,2014-02-18,65.3200000000,MY,PT
NIK   ,HIGH,IEL,CFS,CY ,2014-02-18,67.8530000000,MY,PT
NIK   ,DRY ,IEL,CFS,CY ,2014-02-18,27.8100000000,MY,PT
NIK   ,HIGH,IEL,CFS,CY ,2014-02-18,68.4720000000,MY,PT
NIK   ,AIR ,AIR,CFS,CFS,2014-02-10,2.3100000000,IT,YO
NIK   ,AIR ,AIR,CFS,CFS,2014-02-11,1.7100000000,IT,PK
NIK   ,DRY ,IEL,CY ,CY ,2014-02-20,62.2910000000,ID,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-09,78.1510000000,ID,BK
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,59.1000000000,ID,DW
NIK   ,TRAI,IEL,CFS,CY ,2014-02-11,2.7810000000,CN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-09,79.8200000000,ID,BK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-09,78.1900000000,ID,BK
NIK   ,HIGH,IEL,CY ,CY ,2014-02-12,79.7200000000,ID,AA
NIK   ,HIGH,IEL,CY ,CY ,2014-02-12,79.3200000000,ID,AA
NIK   ,HIGH,IEL,CY ,CY ,2014-02-12,68.5900000000,ID,AA
NIK   ,HIGH,IEL,CY ,CY ,2014-02-15,65.0800000000,CN,NL
NIK   ,AIR ,AIR,CFS,CY ,2014-02-10,1.2500000000,CN,E0
NIK   ,TRAI,IEL,CFS,CY ,2014-02-11,9.8190000000,CN,GH
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,19.2440000000,MY,FD
NIK   ,HIGH,IEL,CY ,CY ,2014-02-13,64.6300000000,ID,EL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,9.8300000000,TW,DJ
NIK   ,HIGH,IEL,CY ,CY ,2014-02-13,64.6400000000,ID,EL
NIK   ,TRAI,IEL,CFS,CY ,2014-02-11,4.9590000000,CN,GH
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,58.1400000000,ID,YO
