Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
Customer1   ,AIR ,AIR,CFS,CFS,28/02/2014,1,IL,JP
Customer1   ,HIGH,IEL,CFS,CY ,02/03/2014,80.48,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,02/03/2014,79.34,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,77.192,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,79.69,ID,BE
Customer1   ,DRY ,IEL,CFS,CY ,26/02/2014,59.44,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,69.58,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,68.72,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,80.179,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,79.769,ID,BE
Customer1   ,DRY ,IEL,CFS,CY ,26/02/2014,18.43,ID,BE
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,9.17,CN,NZ
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,26.636,VN,MY
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,63.74,CN,KR
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,64.9,CN,KR
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,51.67,CN,KR
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,58.83,CN,KR
Customer1   ,AIR ,AIR,CFS,CY ,26/02/2014,0.306,VN,JP
Customer1   ,AIR ,AIR,CFS,CY ,26/02/2014,5.166,VN,BE
Customer1   ,AIR ,AIR,CFS,CY ,26/02/2014,8.928,VN,BE
Customer1   ,AIR ,AIR,CFS,CY ,26/02/2014,4.812,VN,BE
Customer1   ,DRY ,IEL,CFS,CY ,31/03/2014,4.602,PK,MY
Customer1   ,DRY ,OCE,CFS,CY ,27/02/2014,16.02,MY,ID
Customer1   ,DRY ,OCE,CFS,CY ,27/02/2014,16.02,MY,ID
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,24.04,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,56.03,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,24.63,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,67.95,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,68,CN,BE
Customer1   ,DRY ,OCE,CFS,CY ,27/02/2014,48.74,MY,ID
Customer1   ,DRY ,OCE,CFS,CFS,18/03/2014,1,EG,CL
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,58.59,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,67.99,CN,BE
Customer1   ,AIR ,AIR,CFS,CY ,18/03/2014,1.572,VN,BE
Customer1   ,AIR ,AIR,CFS,CY ,18/03/2014,0.588,VN,BE
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,53.31,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,67.4,CN,BE
Customer1   ,HIGH,OCE,CFS,CY ,27/02/2014,28.443,MY,AE
Customer1   ,AIR ,AIR,CFS,CY ,18/03/2014,0.872,CN,KR
Customer1   ,HIGH,OCE,CFS,CY ,27/02/2014,28.443,MY,AE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,66.797,MY,AE
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,24.39,MY,AE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,67.18,VN,JP
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,70.88,VN,JP
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,70.87,VN,JP
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,69.9,VN,JP
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,70.58,VN,JP
Customer1   ,TRAI,IEL,CY ,CY ,17/03/2014,27,BG,BE
Customer1   ,HIGH,IEL,CY ,CY ,26/02/2014,80.31,ID,BE
Customer1   ,AIR ,AIR,CFS,CY ,18/03/2014,25.268,VN,BE
Customer1   ,AIR ,AIR,CFS,CY ,18/03/2014,0.64,ID,BE
Customer1   ,HIGH,IEL,CY ,CY ,26/02/2014,79.1,ID,BE
Customer1   ,HIGH,IEL,CY ,CY ,26/02/2014,80.21,ID,BE
Customer1   ,DRY ,IEL,CFS,CY ,26/02/2014,29.98,ID,MY
Customer1   ,HIGH,IEL,CFS,CFS,26/02/2014,0,CN,MY
Customer1   ,HIGH,IEL,CFS,CFS,26/02/2014,0,CN,MY
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,65.34,CN,KR
Customer1   ,AIR ,AIR,CFS,CFS,18/03/2014,1.64,IT,PA
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,69.03,VN,BE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,69.02,VN,BE
Customer1   ,TRAI,IEL,CY ,CY ,18/03/2014,0.49,IT,BE
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,59.69,VN,BE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,65.23,VN,NL
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,49.01,VN,NL
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,28.36,VN,NL
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,79.4,VN,BE
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,78.54,VN,BE
Customer1   ,DRY ,IEL,CFS,CY ,26/02/2014,58.72,VN,CN
